05 Jan 2013 18:23:48,813 0  INFO (ImageHorizVertSort.java:72) - Starting net.ccaper.ImageHorizVertSort.ImageHorizVertSort.
05 Jan 2013 18:23:48,821 8  INFO (ImageHorizVertSort.java:136) - Getting list of files to sort.
05 Jan 2013 18:23:48,912 99  INFO (ImageHorizVertSort.java:259) - File '/media/fs_pics/Austin Christmas 2005/Rickys Bday at Chaindrive - Me Ricky.jpg' is in ignore files list, ignoring.
05 Jan 2013 18:23:48,914 101  INFO (ImageHorizVertSort.java:259) - File '/media/fs_pics/Austin Christmas 2005/Rickys Bday at Chaindrive - Me Ahmed.jpg' is in ignore files list, ignoring.
05 Jan 2013 18:23:49,286 473  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/4 - reception150.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,287 474  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/5 - photobooth076.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,288 475  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/4 - reception012.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,290 477  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/1 - portraits055.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,291 478  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/1 - portraits010.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,292 479  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/4 - reception286.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,293 480  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/4 - reception344.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,294 481  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/1 - portraits157.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,295 482  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/4 - reception039.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,296 483  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/4 - reception145.jpg' is in the ignore directories list, ignoring.
